Unnamed: 0,user,message
,kenya,"[(109, 137, 109), (9, 9, 137)]"
,kenya,"9,137,9 9,9,137"
,kenya,"9,137,9 8,9,8 9,137,137 9,137,137 8,174,9"
,kenya,"9,137,9 8,9,8 9,137,137 9,137,137 8,174,9"
,kenya,"137,137,209 73,73,209 201,201,209 9,9,209 9,209,209 84,9,209"
,kenya,"174,51,51 84,9,139 8,9,8 9,9,9 137,137,137 9,137,137 73,73,73 9,9,137 8,174,9 8,201,212 8,9,9 8,8,8 8,8,9 9,8,8 137,9,9 9,137,9 137,137,9 137,9,137 9,137,137 8,224,9 148,78,28 9,9,8 8,108,80 9,8,9 137,137,137 201,201,201"
,kenya,"34,34,34 59,59,59 84,84,84 109,109,109 134,134,134 159,159,159 184,184,184 209,209,209 234,234,234 9,9,9 8,9,9 9,8,9 9,9,8 8,8,9 8,9,8 9,8,8 137,9,9 9,137,9 9,9,137 137,137,9 137,9,137 9,137,137 201,201,201 137,137,137 8,174,9 8,201,212 174,51,51 9,9,9 8,8,8 137,137,137 73,73,73 8,108,80 84,9,139 148,78,28 9,137,137 8,224,9"
